,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
,Addition Addition,Addition Addition,إضافة إضافة,加法 加法,加法 加法,Toevoeging Toevoeging,Addition Addition,Addition Addition,Ajout Ajout,Ergänzung Ergänzung,Addition Addition,Penambahan Tambahan,Aggiunta Aggiunta,추가 추가,加算 加算,Addition Addition,Tillegg Tillegg,Dodatek Dodatek,Adição Adição,Adição Adição,Дополнение Дополнение,Suma Suma,Addition Addition,นอกจากนี้,Toplama Toplama,Addition Addition,
,Point A to Point B,Point A to Point B,النقطة أ إلى النقطة ب,A点到B点,A點到B點,Punt A naar punt B,Point A to Point B,Point A to Point B,Point A à Point B,Punkt A nach Punkt B,Point A to Point B,Titik A ke Titik B,Dal punto A al punto B,A지점에서 B지점으로,点Aから点Bへ,Point A to Point B,Punkt A til punkt B,Punkt A do punktu B,Ponto A ao Ponto B,Ponto A ao Ponto B,От точки А до точки Б,Punto A al punto B,Point A to Point B,จุด A ถึงจุด B,A Noktasından B Noktasına,Điểm A đến điểm B,
,Goldenglow,Goldenglow,الوهج الذهبي,金光,金光,Gouden Gloed,Goldenglow,Goldenglow,Lueur dorée,Goldglanz,गोल्डेनग्लो,cahaya keemasan,Bagliore dorato,골든글로우,ゴールデングロウ,Goldenglow,Goldenglow,Złoty blask,brilho dourado,brilho dourado,Золотое сияние,Resplandor dorado,Goldenglow,โกลเดนโกลว์,Altın parlaklık,ánh sáng vàng,
,Fate's End Landing,Fate's End Landing,مصير نهاية الهبوط,命运的终结登陆,命運的終結登陸,Einde van het Lot,Pagdating ng Wakas ng Fate,Kohtalon lopun laskeutuminen,L'atterrissage de la fin du destin,Landung am Ende des Schicksals,भाग्य की अंतिम लैंडिंग,Pendaratan Akhir Nasib,L'atterraggio della fine del destino,운명의 끝 착륙,フェイト・エンド・ランディング,Pendaratan Akhir Takdir,Skjebnens sluttlanding,Lądowanie końca losu,Aterragem final do destino,Aterragem final do destino,Конец судьбы,Aterrizaje del fin del destino,Ödets slutlandning,การลงจอดแห่งโชคชะตา,Kaderin Sonu İnişi,Cuộc đổ bộ định mệnh,
,Realms Once Forgotten,Realms Once Forgotten,العوالم المنسية مرة واحدة,曾经被遗忘的领域,曾經被遺忘的領域,Rijken Die Ooit Vergeten Zijn,Realms na minsang nakalimutan,Kerran unohdetut valtakunnat,Des royaumes autrefois oubliés,Einst vergessene Reiche,लोक एक बार भूल गए,Alam yang Pernah Terlupakan,Regni una volta dimenticati,한때 잊혀진 영역,一度忘れられた領域,Alam Sekali Dilupakan,Realms Once Forgotten,Dawno zapomniane krainy,Reinos outrora esquecidos,Reinos outrora esquecidos,"Королевства, когда-то забытые",Reinos una vez olvidados,Realms Once Forgotten,อาณาจักรที่ถูกลืมไปแล้ว,Bir Zamanlar Unutulan Diyarlar,Cõi một thời bị lãng quên,
,Lost Forest,Lost Forest,الغابة المفقودة,失落的森林,失落的森林,Verloren Bos,Nawalang Kagubatan,Kadonnut metsä,Forêt perdue,Verlorener Wald,खोया हुआ जंगल,Hutan Hilang,Foresta perduta,잃어버린 숲,迷いの森,Hutan Hilang,Tapt skog,Zaginiony las,Floresta Perdida,Floresta Perdida,Затерянный лес,Bosque perdido,Förlorad skog,ป่าที่หายไป,Kayıp Orman,Rừng thất lạc,
,Clocktower,Clocktower,برج الساعة,钟楼,鐘樓,Klokkentoren,Clocktower,Kellotorni,Tour de l'horloge,Uhrturm,घंटाघर,Menara Jam,Torre dell'orologio,시계탑,時計塔,Menara Jam,Klokketårn,Wieża zegarowa,Torre do Relógio,Torre do Relógio,Часовая башня,Torre del Reloj,Klocktorn,หอนาฬิกา,Saat Kulesi,Tháp đồng hồ,
,Champion’s Path,Champion’s Path,طريق البطل,冠军之路,冠軍之路,Kampioenspad,Landas ng Kampeon,Mestarin polku,La Voie du champion,Weg des Champions,चैंपियन का पथ,Jalan Juara,Il Sentiero del Campione,챔피언의 길,チャンピオンの道,Laluan Juara,Mesterens vei,Ścieżka mistrza,Caminho do Campeão,Caminho do Campeão,Путь Чемпиона,El camino del campeón,Mästarens väg,เส้นทางแชมป์,Şampiyonun Yolu,Con đường của nhà vô địch,
,The Build,The Build,البناء,构建,建構,De Bouw,Ang Build,Rakenna,La Construction,Der Bau,निर्माण,Pembangunan,La costruzione,빌드,ビルド,Binaan,Bygget,Budowa,A construção,A construção,Сборка,La construcción,Bygget,งานสร้าง,Yapı,Bản dựng,
,On the Bank,On the Bank,بواسطة النهر,在河边,在河邊,Bij de Rivier,sa tabi ng ilog,joen varrella,Au bord de la rivière,Am Fluss,नदी द्वारा,di tepi sungai,vicino al fiume,강가에서,川のそばで,di tepi sungai,ved elva,nad rzeką,à beira do rio,à beira do rio,у реки,Por el río,vid floden,ริมแม่น้ำ,nehir kenarında,bên bờ sông,
,Surfs Up Surfs Up,Surfs Up Surfs Up,يتصفح لأعلى يتصفح لأعلى,冲浪 冲浪,衝浪吧 衝浪吧,"Surft Omhoog, Surft Omhoog",Surfs Up Surfs Up,Surffaa Surffaa,Surfe vers le haut,"Surft hoch, surft hoch","ऊपर की ओर सर्फ़ करता है, ऊपर की ओर सर्फ़ करता है",Berselancar Berselancar,Naviga in alto Naviga in alto,서핑 업 서핑 업,サーフアップ サーフアップ,Melayari Melayari,Surfer opp Surfer opp,Surfuje Surfuje,Surfa,Surfa,серфинг вверх серфинг вверх,Surfea Surfea arriba,Surfar upp Surfar upp,เซิร์ฟอัพ เซิร์ฟอัพ,Sörf Yapılıyor Sörf Yapılıyor,Lướt lên Lướt lên,
,Poodle Bop,Poodle Bop,بودل بوب,贵宾犬波普,貴賓犬波普,Poedel Bop,Poodle Bop,Villakoira bop,Caniche Bop,Pudel Bop,पूडल बोप,Pudel Bop,Barboncino Bop,푸들 밥,プードル・ボップ,Poodle Bop,Puddel Bop,Pudel Bop,Poodle Bop,Poodle Bop,Пудель Боп,Caniche Bop,Pudel Bop,พุดเดิ้ลบ็อป,Kaniş Bop,Chó xù Bop,
,Twist on the Tide,Twist on the Tide,تطور على المد والجزر,随波逐流,隨波逐流,Draai aan het Getij,Twist on the Tide,Twist on Tide,Tournez sur la marée,Wenden Sie sich an die Flut,ज्वार पर मोड़,Memutar Arus,Torsione sulla marea,트위스트 온 더 타이드,ツイスト・オン・ザ・タイド,Twist on the Tide,Twist on the Tide,Twist na fali,Torção na maré,Torção na maré,Поворот на волне,Giro en la marea,Twist on the Tide,บิดบนกระแสน้ำ,Gelgitte Bükülme,Xoay theo thủy triều,
,Tides and Treasure,Tides and Treasure,المد والجزر والكنز,潮汐与宝藏,潮汐與寶藏,Getijden en Schatten,Tides at Kayamanan,Vuorovesi ja aarre,Marées et trésor,Gezeiten und Schätze,ज्वार और खजाना,Pasang Surut dan Harta Karun,Maree e Tesori,조수와 보물,潮と宝,Pasang surut dan Harta Karun,Tidevann og skatter,Przypływy i skarby,Marés e Tesouro,Marés e Tesouro,Приливы и сокровища,Mareas y tesoro,Tidvatten och skatter,กระแสน้ำและสมบัติ,Gelgitler ve Hazine,Thủy triều và kho báu,
,Beach Bop Boogie,Beach Bop Boogie,بيتش بوب بوجي,海滩波普布吉,海灘波普布吉,Strandbop Boogie,Beach Bop Boogie,Beach Bop Boogie,Boogie de plage,Beach-Bop-Boogie,बीच बोप बूगी,Pantai Bop Boogie,Bop Boogie da spiaggia,비치 밥 부기,ビーチ・バップ・ブギ,Beach Bop Boogie,Beach Bop Boogie,Boogie na plaży,Praia Bop Boogie,Praia Bop Boogie,Бич-боп-буги,Boogie de playa,Beach Bop Boogie,บีช บ็อป บูกี้,Plaj Bop Boogie,Nhảy Boogie bãi biển,
,Crisp Orange Sunrise,Crisp Orange Sunrise,شروق الشمس البرتقالي المنعش,清脆的橙色日出,清脆的橙色日出,Knapperige oranje zonsopgang,Crisp Orange Sunrise,Raikas oranssi auringonnousu,Lever de soleil orange vif,Knackiger orangefarbener Sonnenaufgang,कुरकुरा नारंगी सूर्योदय,Matahari Terbit Oranye Renyah,Alba arancione croccante,크리스프 오렌지 선라이즈,クリスプオレンジサンライズ,Matahari Terbit Jingga Renyah,Skarp oransje soloppgang,Chrupiący pomarańczowy wschód słońca,Nascer do sol laranja crocante,Nascer do sol laranja crocante,Свежий оранжевый восход солнца,Amanecer naranja fresco,Skarp orange soluppgång,ซันไรส์ส้มกรอบ,Canlı Turuncu Gündoğumu,Bình minh cam sắc nét,
,Sunrise Mango Soda,Sunrise Mango Soda,صودا مانجو صن رايز,日出芒果汽水,日出芒果汽水,Sunrise Mango Soda,Sunrise Mango Soda,Sunrise Mango Soda,Soda à la mangue Sunrise,Sunrise Mango-Limonade,सनराइज मैंगो सोडा,Soda Mangga Matahari Terbit,Soda al mango Sunrise,선라이즈 망고 소다,サンライズマンゴーソーダ,Soda Mangga Matahari Terbit,Sunrise Mango Soda,Soda Sunrise Mango,Refrigerante de manga Sunrise,Refrigerante de manga Sunrise,Газировка Sunrise Mango,Refresco de mango Sunrise,Sunrise Mango Soda,ซันไรส์มะม่วงโซดา,Sunrise Mango Soda,Soda xoài Sunrise,
,Mint Cream Float,Mint Cream Float,عوامة كريم النعناع,薄荷奶油漂浮,薄荷奶油漂浮,Muntroom Float,Mint Cream Float,Mint Cream Float,Flotteur à la crème de menthe,Mint-Creme-Float,मिंट क्रीम फ्लोट,Mint Cream Float,Crema alla menta galleggiante,민트 크림 플로트,ミントクリームフロート,Krim Pudina Terapung,Mint Cream Float,Pływający krem ​​miętowy,Creme de menta flutuante,Creme de menta flutuante,Мятный крем-флоат,Flotador de crema de menta,Mint Cream Float,มิ้นต์ครีมลอย,Naneli Kremalı Float,Kem bạc hà nổi,
,Sparkling Apple Cider,Sparkling Apple Cider,عصير التفاح الفوار,起泡苹果酒,氣泡蘋果酒,Mousserende appelcider,Makikinang na Apple Cider,Kuohuva omenasiideri,Cidre de pomme pétillant,Sprudelnder Apfelwein,स्पार्कलिंग एप्पल साइडर,Sari Apel Bersoda,Sidro di mele frizzante,스파클링 애플 사이다,スパークリングアップルサイダー,Cider Epal yang berkilauan,Glitrende eplecider,Musujący cydr jabłkowy,Sidra de maçã espumante,Sidra de maçã espumante,Игристый яблочный сидр,Sidra de manzana espumosa,Mousserande äppelcider,ไซเดอร์แอปเปิ้ลสปาร์กลิ้ง,Köpüklü Elma Şarabı,Rượu táo sủi bọt,
,Un Sospiro,Un Sospiro,أون سوسبيرو,叹息,嘆息,Een Sospiro,Un Sospiro,Un Sospiro,Un Sospiro,Ein Sospiro,अन सोस्पिरो,Un Sospiro,Un Sospiro,운 소스피로,アン・ソスピロ,Un Sospiro,Un Sospiro,W Sospiro,Um Sospiro,Um Sospiro,Ун Соспиро,Un Sospiro,Un Sospiro,อุน ซอสปิโร,Bir Sospiro,Un Sospiro,
,Tarantella in G Minor,Tarantella in G Minor,الرتيلاء في G الصغرى,G小调塔朗泰拉舞曲,G小調塔朗泰拉舞曲,Tarantella in G mineur,Tarantella sa G Minor,Tarantella g-mollissa,Tarentelle en sol mineur,Tarantella in g-Moll,जी माइनर में टारेंटेला,Tarantella di G Minor,Tarantella in sol minore,G단조의 타란텔라,タランテラ ト短調,Tarantella dalam G Minor,Tarantella i g-moll,Tarantella g-moll,Tarantela em Sol Menor,Tarantela em Sol Menor,Тарантелла соль минор,Tarantela en sol menor,Tarantella i g-moll,ทารันเทลล่าใน G Minor,Sol Minor'da Tarantella,Tarantella ở G Minor,
,Transcendental Etude No.4 Mazeppa,Transcendental Etude No.4 Mazeppa,القطعة الموسيقية المتسامية رقم 4 مازيبا,超技练习曲第4号 马捷帕,超技練習曲第4號 馬捷帕,Transcendente Etude Nr. 4 Mazeppa,Transcendental Etude No.4 Mazeppa,Transsendenttinen etydi nro 4 Mazeppa,Etude Transcendantale No.4 Mazeppa,Transzendentale Etüde Nr.4 Mazeppa,ट्रान्सेंडैंटल एट्यूड नंबर 4 माज़ेप्पा,Etude Transendental No.4 Mazeppa,Studio Trascendentale No.4 Mazeppa,초월 에뛰드 No.4 마제파,超絶エチュード 第4番 マゼッパ,Etude Transendental No.4 Mazeppa,Transcendental Etude nr. 4 Mazeppa,Etiuda transcendentalna nr 4 Mazeppa,Estudo Transcendental No.4 Mazeppa,Estudo Transcendental No.4 Mazeppa,Трансцендентальный этюд №4 Мазепа,Estudio trascendental No.4 Mazeppa,Transcendental Etude No.4 Mazeppa,Transcendental Etude No.4 มาเซปปา,Transandantal Etüd No.4 Mazeppa,Siêu việt Etude số 4 Mazeppa,
,Piano Sonata No. 8 in A Major,Piano Sonata No. 8 in A Major,سوناتا البيانو رقم 8 في مفتاح لا الكبير,A大调第八钢琴奏鸣曲,A大調第八鋼琴奏鳴曲,Pianosonate nr. 8 in A majeur,Piano Sonata No. 8 in A Major,Piano Sonata No. 8 in A Major,Sonate pour piano No.8 en A majeur,Klaviersonate Nr. 8 in A-Dur,Piano Sonata No. 8 in A Major,Piano Sonata No. 8 dalam A Major,Sonata per pianoforte n. 8 in la maggiore,피아노 소나타 8번 A장조,ピアノ・ソナタ 第8番 イ長調,Piano Sonata No. 8 in A Major,Pianosonate nr. 8 i A-dur,Sonata fortepianowa nr 8 A-dur,Sonata para Piano No.8 em Lá Maior,Sonata para Piano No.8 em Lá Maior,Соната для фортепиано № 8 ля мажор,Sonata para piano No.8 en la mayor,Pianosonat no.8 i A-dur,เปียโนโซนาต้าหมายเลข 8 ในเอเมเจอร์,A Majör 8. Piyano Sonatı,Piano Sonata No. 8 cung A trưởng,
,Nocturne in C-sharp Minor,Nocturne in C-sharp Minor,الموسيقى الهادئة في C-شارب طفيفة,升C小调夜曲,升C小調夜曲,Nocturne in cis mineur,Nocturne in C-sharp Minor,Nocturne in C-sharp Minor,Nocturne en do dièse mineur,Nocturne in cis-Moll,Nocturne in C-sharp Minor,Nokturnal di C-sharp Minor,Notturno in do diesis minore,녹턴 다단단조,夜想曲嬰ハ短調,Nocturne in C-sharp Minor,Nocturne i cis-moll,Nokturn cis-moll,Noturno em dó sustenido menor,Noturno em dó sustenido menor,Ноктюрн до-диез минор,Nocturno en do sostenido menor,Nocturne i cis-moll,น็อกเทิร์นในซีชาร์ปไมเนอร์,C Diyez Minör Noktürn,Nocturne ở C thăng thứ,
,Arirang (Adapted),Arirang (Adapted),أريرانغ (مقتبس),阿里郎（改编）,阿里郎（改編）,Arirang (Aangepast),Arirang (Adapted),Arirang (Adapted),Arirang (adapté),Arirang (Adapted),Arirang (Adapted),Arirang (Diadaptasi),Arirang (adattato),아리랑 – 어댑티드,アリラン（改作）,Arirang (Adapted),Arirang (tilpasset),Arirang (dostosowany),Arirang (adaptado),Arirang (adaptado),Ариран (Адаптированный),Arirang (Adaptado),Arirang (anpassad),อารีรัง (ดัดแปลง),Arirang (Uyarlama),Arirang (phiên bản cải biên),
,Milyang Arirang,Milyang Arirang,ميليانج أريرانج,密阳阿里郎,密陽阿里郎,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,밀양 아리랑,密陽アリラン,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,Milyang Arirang,Мильянг Ариран,Milyang Arirang,Milyang Arirang,มิลยาง อารีรัง,Milyang Arirang,Milyang Arirang,
,Roasted Chestnut Song,Roasted Chestnut Song,أغنية الكستناء المحمص,烤栗子歌,烤栗子歌,Lied van geroosterde kastanjes,Roasted Chestnut Song,Roasted Chestnut Song,Chanson de châtaignes rôties,Lied über geröstete Kastanien,Roasted Chestnut Song,Lagu Kastanye Panggang,Canzone delle castagne arrostite,군밤타령,焼き栗の歌,Roasted Chestnut Song,Stekt kastanje sang,Piosenka o pieczonych kasztanach,Canção de Castanha Assada,Canção de Castanha Assada,Песня о жареных каштанах,Canción de castañas asadas,Rostad kastanj sång,เพลงเกาลัดคั่ว,Kavrulmuş Kestane Şarkısı,Bài hát hạt dẻ rang,
1256,By your side,By your side,بجانبك,在你身边,在你身邊,Aan jouw zijde,Sa tabi mo,Sinun rinnallasi,À tes côtés,An deiner Seite,अपकी तरफ से,Di sampingmu,Al tuo fianco,당신 옆에,あなたのそばに,Di sebelah awak,Ved din side,U twego boku,Ao seu lado,Ao seu lado,На твоей стороне,A tu lado,Vid din sida,เคียงข้างคุณ,Senin yanında,Bên cạnh bạn,
1257,Maybe see you after four years,Maybe see you after four years,ربما نراكم بعد أربع سنوات,也许四年后再见,也許四年後見,Misschien tot ziens over vier jaar,Baka magkita tayo after four years,Ehkä nähdään neljän vuoden kuluttua,Peut-être qu'on se reverra dans quatre ans,Vielleicht sehen wir uns in vier Jahren,शायद चार साल बाद मिलेंगे,Mungkin bertemu denganmu setelah empat tahun,Forse ci vediamo tra quattro anni,아마 4년 후에 만나요,4年後にまた会えるかな,Mungkin jumpa awak selepas empat tahun,Kanskje vi sees etter fire år,Może do zobaczenia za cztery lata,Talvez te veja depois de quatro anos,Talvez te veja depois de quatro anos,Может быть увидимся через четыре года.,Quizás nos veamos dentro de cuatro años.,Vi kanske ses efter fyra år,บางทีอาจจะเจอกันอีกครั้งหลังจากสี่ปี,Belki dört yıl sonra görüşürüz,Có lẽ gặp lại bạn sau bốn năm,
,Autumnal Scales,Autumnal Scales,مقاييس الخريف,秋季刻度,秋季刻度,Herfstschaal,Panukat ng taglagas,Syksyiset asteikot,Échelles automnales,Herbstliche Skalen,शरद ऋतु के तराजू,Timbangan Musim Gugur,Scale autunnali,가을 비늘,秋のスケール,Skala Musim Luruh,Høstlige skalaer,Jesienne skale,Escalas outonais,Escalas outonais,Осенние шкалы,Escalas otoñales,Höstskalor,สเกลฤดูใบไม้ร่วง,Sonbahar Ölçekleri,Các thang đo mùa thu,
,Twelve Million Years,Twelve Million Years,اثنا عشر مليون سنة,一千二百万年,一千二百萬年,Twaalf miljoen jaar,Labingdalawang milyong taon,Kaksitoista miljoonaa vuotta,Douze millions d’années,Zwölf Millionen Jahre,बारह मिलियन वर्ष,Dua belas juta tahun,Dodici milioni di anni,천이백만 년,"1,200万年",Dua belas juta tahun,Tolv millioner år,Dwanaście milionów lat,Doze milhões de anos,Doze milhões de anos,Двенадцать миллионов лет,Doce millones de años,Tolv miljoner år,สิบสองล้านปี,On iki milyon yıl,Mười hai triệu năm,
,Willowtree Lantern Lights,Willowtree Lantern Lights,أضواء فانوس شجرة الصفصاف,柳树灯笼灯光,柳樹燈籠燈光,Wilgenboom lantaarnlichten,Ilaw ng parol ng punong willow,Pajunlyhdyn valot,Lumières des lanternes de saule,Weidenbaum-Laternenlichter,विलो ट्री लालटेन लाइट्स,Cahaya Lentera Pohon Willow,Luci delle lanterne di salice,버드나무 랜턴 조명,柳の木のランタンライト,Cahaya Tanglung Pokok Willow,Lyktelys fra piletreet,Światła latarni wierzbowej,Luzes de lanterna de salgueiro,Luzes de lanterna de salgueiro,Свет фонарей ивы,Luces de farol de sauce,Pilträdslyktsljus,แสงโคมไฟต้นวิลโลว์,Söğüt ağacı fener ışıkları,Ánh đèn lồng cây liễu,
,Schoolyard Halo,Schoolyard Halo,هالة ساحة المدرسة,校园光环,校園光環,Schoolplein-halo,Aurang liwanag sa bakuran ng paaralan,Koulun pihan halo,Halo de cour d’école,Schulhof-Halo,स्कूल के आंगन की प्रभा,Halo halaman sekolah,Cortile scolastico halo,학교 운동장 후광,校庭の光輪,Halo Halaman Sekolah,Skolegårdens glorie,Aureola szkolnego podwórka,Auréola do recreio,Auréola do pátio da escola,Сияние школьного двора,Halo del patio escolar,Skolgårdsgloria,รัศมีสนามโรงเรียน,Okul bahçesi halesi,Vầng hào quang sân trường,
,Phantom Night Cascade,Phantom Night Cascade,شلال الليل الخيالي,幽夜瀑布,幽夜瀑布,Spooknachtcascade,Phantom Night Cascade,Phantom Night Cascade,Cascade de la nuit fantôme,Phantomnachtkaskade,फैंटम नाइट कैस्केड,Air Terjun Malam Hantu,Cascata della notte fantasma,팬텀 나이트 캐스케이드,ファントムナイトカスケード,Lata Malam Hantu,Phantom Night Cascade,Kaskada Nocy Widmo,Cascata da Noite Fantasma,Cascata da Noite Fantasma,Призрачная ночь Каскад,Cascada de la noche fantasma,Phantom Night Cascade,น้ำตกกลางคืนแห่งผี,Hayalet Gece Şelalesi,Thác Đêm Ma Quái,
,Under a Lantern-lit Sky,Under a Lantern-lit Sky,تحت سماء مضاءة بالفوانيس,在燈籠點亮的天空下,在燈籠點亮的天空下,Onder een met lantaarns verlichte hemel,Sa ilalim ng langit na may ilaw ng parol,Lyhtyjen valaiseman taivaan alla,Sous un ciel éclairé de lanternes,Unter einem laternenerleuchteten Himmel,लालटेन से प्रकाशित आकाश के नीचे,Di bawah langit yang diterangi lentera,Sotto un cielo illuminato da lanterne,등불이 비추는 하늘 아래,ランタンが灯る空の下,Dibawah langit yang diterangi tanglung,Under en lyktbelyst himmel,Pod niebem oświetlonym lampionami,Sob um céu iluminado por lanternas,Sob um céu iluminado por lanternas,"Под небом, освещённым фонарями",Bajo un cielo iluminado por faroles,Under en lyktupplyst himmel,ใต้ท้องฟ้าที่ประดับด้วยโคมไฟ,Fener ışıklı gökyüzünün altında,Dưới bầu trời rực sáng đèn lồng,
,Beyond Waxing Moonlight,Beyond Waxing Moonlight,ما وراء ضوء القمر المتزايد,超越盈月之光,超越盈月之光,Voorbij het wassende maanlicht,Lampas sa lumalakas na liwanag ng buwan,Yli kasvavan kuun valon,Au-delà de la lumière croissante de la lune,Jenseits des zunehmenden Mondlichts,बढ़ते चंद्रप्रकाश से परे,Melebihi cahaya bulan sabit yang tumbuh,Oltre la luce crescente della luna,커져가는 달빛 너머で,満ちていく月明かりの彼方,Bersinar melampaui cahaya bulan sabit,Forbi det voksende måneskinnet,Poza narastające światło księżyca,Além da luz crescente da lua,Além da luz crescente da lua,За пределами растущего лунного света,Más allá de la luz creciente de la luna,Bortom tilltagande månsken,เหนือแสงจันทร์ที่กำลังขยาย,Artan ay ışığının ötesinde,Vượt ra ngoài ánh trăng tròn dần,
,Back to the Moon,Back to the Moon,العودة إلى القمر,重返月球,重返月球,Terug naar de maan,Bumalik sa Buwan,Takaisin kuuhun,Retour sur la Lune,Zurück zum Mond,चाँद पर वापसी,Kembali ke Bulan,Torna sulla Luna,달로 돌아가기,月へ戻る,Kembali ke Bulan,Tilbake til månen,Powrót na Księżyc,De volta à Lua,De volta à Lua,Назад на Луну,De vuelta a la Luna,Tillbaka till månen,กลับสู่ดวงจันทร์,Aya geri dön,Nhìn về Mặt trăng,
,Wonderland Welcome,Wonderland Welcome,مرحبا بكم في بلاد العجائب,欢迎来到仙境,歡迎來到仙境,Wonderland Welkom,Maligayang pagdating sa Wonderland,Ihmemaa Tervetuloa,Bienvenue au pays des merveilles,Willkommen im Wunderland,वंडरलैंड में आपका स्वागत है,Selamat Datang di Negeri Ajaib,Benvenuti nel Paese delle Meraviglie,원더랜드에 오신 것을 환영합니다,ワンダーランドへようこそ,Wonderland Selamat Datang,Velkommen til Eventyrland,Witamy w Krainie Czarów,Bem-vindo ao País das Maravilhas,Bem-vindo ao País das Maravilhas,Добро пожаловать в Страну Чудес,Bienvenidos al País de las Maravillas,Välkommen till Underlandet,ยินดีต้อนรับวันเดอร์แลนด์,Harikalar Diyarı Hoş Geldiniz,Chào mừng đến xứ sở thần tiên,
,Season_s Tidings,Season's Tidings,أخبار الموسم,季节的喜讯,季節的喜訊,Seizoensnieuws,Mga Balita ng Season,Kauden uutiset,Messages de saison,Weihnachtsbotschaften,मौसम की ख़बरें,Kabar Musim,Notizie di stagione,계절의 소식,季節の知らせ,Berita Musim,Sesongens nyheter,Nowiny sezonowe,Notícias da Temporada,Notícias da Temporada,Новости сезона,Noticias de temporada,Säsongens nyheter,ข่าวสารประจำฤดูกาล,Mevsimin Haberleri,Tin tức mùa giải,
,Once upon a Wishing Star,Once upon a Wishing Star,ذات مرة كان هناك نجم أمنيات,从前，一颗许愿星,從前，一顆許願星,Er was eens een wensster,Once upon a Wishing Star,Olipa kerran toivomustähti,Il était une fois une étoile à souhaits,Es war einmal ein Wunschstern,एक बार एक इच्छाधारी तारे पर,Suatu Ketika di Bintang Harapan,C'era una volta una stella dei desideri,옛날 옛적에 소원의 별,願い星の昔話,Pernah menjadi Bintang Harapan,Det var en gang en ønskestjerne,"Dawno, dawno temu, gwiazda życzeń",Era uma vez uma estrela cadente,Era uma vez uma estrela cadente,Однажды Звезда Желаний,Érase una vez una estrella de los deseos,Det var en gång en önskestjärna,กาลครั้งหนึ่งนานมาแล้ว ดาวแห่งความปรารถนา,Bir Dilek Yıldızı Vardı,Ngày xửa ngày xưa có một ngôi sao ước nguyện,
,Snow Dusted Dawn,Snow Dusted Dawn,فجر مغطى بالثلوج,雪雾笼罩的黎明,雪霧籠罩的黎明,Sneeuwbedekte dageraad,Snow Dusted Dawn,Lumisadetta aamunkoitteessa,Aube saupoudrée de neige,Schneebedeckte Morgendämmerung,बर्फ से ढकी सुबह,Fajar Bersalju,Alba spolverata di neve,눈 덮인 새벽,雪に覆われた夜明け,Fajar Berhabuk Salji,Snøstøvet daggry,Świt pokryty śniegiem,Aurora coberta de neve,Aurora coberta de neve,Заснеженный рассвет,Amanecer cubierto de nieve,Snödammad gryning,รุ่งอรุณที่ปกคลุมไปด้วยหิมะ,Karlı Şafak,Bình minh phủ tuyết,
,Speckled Lights at Eve,Speckled Lights at Eve,أضواء مرقطة في حواء,伊甸园的斑驳灯光,伊甸園的斑駁燈光,Gespikkelde lichtjes op de vooravond,Mga Batik-batik na Ilaw sa Bisperas,Pilkulliset valot aattona,Lumières mouchetées à la veille,Gesprenkelte Lichter am Abend,शाम को धब्बेदार रोशनी,Lampu Berbintik di Eve,Luci punteggiate alla vigilia,이브의 반점 빛,イブの斑点状の光,Cahaya Berbintik-bintik di Hawa,Flekkete lys på kvelden,Plamki świateł w wieczór,Luzes salpicadas na véspera,Luzes salpicadas na véspera,Пятнистые огни в Еве,Luces moteadas en la víspera,Spräckliga ljus på kvällen,แสงจุดๆ ที่อีฟ,Eve'de Benekli Işıklar,Ánh đèn lốm đốm vào đêm giao thừa,
,Waddle Wondering Way,Waddle Wondering Way,طريق وادل وونرينج,蹒跚而行,蹣跚而行,Waddle Wondering Way,Waddle Wondering Way,Vaappailu Ihmettelytie,Waddle Wondering Way,Watschelnd irrst du,वेडल वंडरिंग वे,Waddle Wondering Way,Waddle Wondering Way,와들 원더링 웨이,よちよち歩きの道,Waddle Wondering Way,Vattle Wondering Way,Waddle Wondering Way,"Andar cambaleando, vagando pelo caminho.","Andar cambaleando, vagando pelo caminho.",Уоддл Уодинг Вэй,Camino de vaivén,Waddle Wondering Way,วอดเดิล วอนเดอริง เวย์,Waddle Wondering Yolu,Đường đi lạch bạch,
,Penguin Dance,Penguin Dance,رقصة البطريق,企鹅舞,企鵝舞,Pinguïndans,Sayaw ng Penguin,Pingviinitanssi,Danse du pingouin,Pinguin-Tanz,पेंगुइन नृत्य,Tarian Penguin,Danza del pinguino,펭귄 댄스,ペンギンダンス,Tarian Penguin,Pingvindans,Taniec pingwina,Dança dos Pinguins,Dança dos Pinguins,Танец пингвинов,Danza del pingüino,Pingvindans,เพนกวินเต้นรำ,Penguen Dansı,Vũ điệu chim cánh cụt,
